id,title,company,location,job_type,date_posted,url,created_at,source,description,skills,category
73,Finance & Administration Assistant,WeForest Malawi,Mulanje,Full Time,5/20/2025,https://jobsearchmalawi.com/job/finance-administration-assistant-7/,06:49.2,NULL,NULL,NULL,finance
74,Volunteer Liaison (2 Positions),CorpsAfrica/Malawi,Lilongwe,Volunteer,5/20/2025,https://jobsearchmalawi.com/job/volunteer-liaison-2-positions/,06:49.2,NULL,NULL,NULL,volunteer
75,Finance and Program Assistant,Nutrition International,LIlongwe,Full Time,5/20/2025,https://jobsearchmalawi.com/job/finance-and-program-assistant/,06:49.2,NULL,NULL,NULL,finance
76,Account Relationship Officer,Dreams Finacial Services Limited,Lilongwe,Full Time,5/20/2025,https://jobsearchmalawi.com/job/account-relationship-officer/,06:49.2,NULL,NULL,NULL,accounting
77,Media Monitoring and Evaluation Officer,Media Council of Malawi,Lilongwe,Temporary,5/20/2025,https://jobsearchmalawi.com/job/media-monitoring-and-evaluation-officer/,06:49.2,NULL,NULL,NULL,
78,Media Monitors,Media Council of Malawi,Various,Temporary,5/20/2025,https://jobsearchmalawi.com/job/media-monitors/,06:49.2,NULL,NULL,NULL,
79,Head of Operations,Target Security Group,Blantyre,Full Time,5/20/2025,https://jobsearchmalawi.com/job/head-of-operations-10/,06:49.2,NULL,NULL,NULL,
80,General Manager,Target Security Group,Blantyre,Full Time,5/20/2025,https://jobsearchmalawi.com/job/general-manager-53/,06:49.2,NULL,NULL,NULL,
81,Chief Executive Officer,Malawi Institute of Procurement and Supply (MIPS),Lilongwe,Full Time,5/20/2025,https://jobsearchmalawi.com/job/chief-executive-officer-80/,06:49.2,NULL,NULL,NULL,
82,Accounts Assistant (Revenue),University of Lilongwe,Lilongwe,Full Time,5/20/2025,https://jobsearchmalawi.com/job/accounts-assistant-revenue/,06:49.2,NULL,NULL,NULL,
83,Internal Audit Officer,Malawi Communications Regulatory Authority (MACRA),Lilongwe,Full Time,5/20/2025,https://jobsearchmalawi.com/job/internal-audit-officer-11/,06:49.2,NULL,NULL,NULL,
84,Internal Audit Manager,Malawi Communications Regulatory Authority (MACRA),Lilongwe,Full Time,5/20/2025,https://jobsearchmalawi.com/job/internal-audit-manager-31/,06:49.2,NULL,NULL,NULL,
85,Finance and Program Assistant,N/A,"Lilongwe, Malawi",Job Vacancy in Malawi,5/20/2025,https://ntchito.com/job/finance-and-program-assistant/,57:37.2,ntchito.com,NULL,NULL,
86,QA Analyst,N/A,Anywhere,Job Vacancy in Malawi,5/20/2025,https://ntchito.com/job/qa-analyst/,57:37.2,ntchito.com,NULL,NULL,
87,𝐏𝐚𝐫𝐭-𝐓𝐢𝐦𝐞 𝐅𝐮𝐥𝐥 𝐒𝐭𝐚𝐜𝐤 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐞𝐫,N/A,Remote,Internationally Recruited,5/20/2025,https://ntchito.com/job/%f0%9d%90%8f%f0%9d%90%9a%f0%9d%90%ab%f0%9d%90%ad-%f0%9d%90%93%f0%9d%90%a2%f0%9d%90%a6%f0%9d%90%9e-%f0%9d%90%85%f0%9d%90%ae%f0%9d%90%a5%f0%9d%90%a5-%f0%9d%90%92%f0%9d%90%ad%f0%9d%90%9a%f0%9d%90%9c/,57:37.2,ntchito.com,NULL,NULL,
88,Volunteer Liaisons – Malawi,N/A,Malawi,Job Vacancy in Malawi,5/20/2025,https://ntchito.com/job/volunteer-liaisons-malawi/,57:37.2,ntchito.com,NULL,NULL,
89,AI for Early Warnings Innovation Challenge,N/A,Anywhere,Grants for Businesses,5/20/2025,https://ntchito.com/job/ai-for-early-warnings-innovation-challenge/,57:37.2,ntchito.com,NULL,NULL,
90,"AO Startups: Accelerating Elite Founders in Sport, Health & Entertainment Technology",N/A,Anywhere,Grants for Businesses,5/20/2025,https://ntchito.com/job/ao-startups-accelerating-elite-founders-in-sport-health-entertainment-technology/,57:37.2,ntchito.com,NULL,NULL,
91,CFPs: Grant for Technical support to increase Transparency Capacities in Developing Countries,N/A,Anywhere,Grants for Businesses,5/20/2025,https://ntchito.com/job/cfps-grant-for-technical-support-to-increase-transparency-capacities-in-developing-countries/,57:37.2,ntchito.com,NULL,NULL,
92,"Architecture, Design and Fashion Biennales and Festivals Grants",N/A,Anywhere,Grants for Individuals,5/20/2025,https://ntchito.com/job/architecture-design-and-fashion-biennales-and-festivals-grants/,57:37.2,ntchito.com,NULL,NULL,
93,African Women Climate Action Fellowship for Gender-Equitable Climate Solutions,N/A,Anywhere,"Trainings, Conferences & Fellowships",5/20/2025,https://ntchito.com/job/african-women-climate-action-fellowship-for-gender-equitable-climate-solutions/,57:37.2,ntchito.com,NULL,NULL,
94,Apply Now: Emerging New Media Artists Programme,N/A,Anywhere,"Trainings, Conferences & Fellowships",5/20/2025,https://ntchito.com/job/apply-now-emerging-new-media-artists-programme/,57:37.2,ntchito.com,NULL,NULL,
95,Open Call for Artist Residency Grants,N/A,Anywhere,Grants for Individuals,5/20/2025,https://ntchito.com/job/open-call-for-artist-residency-grants/,57:37.2,ntchito.com,NULL,NULL,
96,Knowledge Translation Research Grant for LMIC Public Health Projects,N/A,Anywhere,Grants for Individuals,5/20/2025,https://ntchito.com/job/knowledge-translation-research-grant-for-lmic-public-health-projects/,57:37.2,ntchito.com,NULL,NULL,
97,Open Call for International Computer Science Competition,N/A,Anywhere,Grants for Individuals,5/20/2025,https://ntchito.com/job/open-call-for-international-computer-science-competition/,57:37.2,ntchito.com,NULL,NULL,
98,Opportunity Grants for Innovative SRHR Advocacy by Small Civil Society Organisations,N/A,Anywhere,Grants for NGOs & Institutions,5/20/2025,https://ntchito.com/job/opportunity-grants-for-innovative-srhr-advocacy-by-small-civil-society-organisations/,57:37.2,ntchito.com,NULL,NULL,
99,"Awards for Innovative Disability-Inclusive Solutions in Accessibility, ICT, and Crisis Response",N/A,Anywhere,Grants for Individuals,5/20/2025,https://ntchito.com/job/awards-for-innovative-disability-inclusive-solutions-in-accessibility-ict-and-crisis-response/,57:37.2,ntchito.com,NULL,NULL,
100,UNESCO Youth for Peace Intercultural Leadership Programme,N/A,Anywhere,"Trainings, Conferences & Fellowships",5/20/2025,https://ntchito.com/job/unesco-youth-for-peace-intercultural-leadership-programme/,57:37.2,ntchito.com,NULL,NULL,
101,Global Art Competition for Copic Users,N/A,Anywhere,Grants for Individuals,5/20/2025,https://ntchito.com/job/global-art-competition-for-copic-users/,57:37.2,ntchito.com,NULL,NULL,
102,SPIE International Day of Light Photo Contest,N/A,Anywhere,Grants for Individuals,5/20/2025,https://ntchito.com/job/spie-international-day-of-light-photo-contest/,57:37.2,ntchito.com,NULL,NULL,
103,Request for proposalto conduct KAP study on corporal punishment in Malawi,N/A,Malawi,Consultancy,5/20/2025,https://ntchito.com/job/request-for-proposalto-conduct-kap-study-on-corporal-punishment-in-malawi/,57:37.2,ntchito.com,NULL,NULL,
104,"Supply and Installation of Air conditioners at NOCMA Chipoka, Blantyre, Lilongwe and Mzuzu",N/A,"Chipoka, Blantyre, Lilongwe and Mzuzu",Tender,5/20/2025,https://ntchito.com/job/supply-and-installation-of-air-conditioners-at-nocma-chipoka-blantyre-lilongwe-and-mzuzu/,57:37.2,ntchito.com,NULL,NULL,
105,Supply and Delivery of Sensors,N/A,"Mzuzu, Malawi",Tender,5/20/2025,https://ntchito.com/job/supply-and-delivery-of-sensors/,57:37.2,ntchito.com,NULL,NULL,
106,SUPPLY AND DELIVERY OF ICT ACCESSORIES,N/A,Malawi,Tender,5/20/2025,https://ntchito.com/job/supply-and-delivery-of-ict-accessories/,57:37.2,ntchito.com,NULL,NULL,
107,Supply and delivery of Consumables,N/A,"Mzuzu, Malawi",Tender,5/20/2025,https://ntchito.com/job/supply-and-delivery-of-consumables/,57:37.2,ntchito.com,NULL,NULL,
108,SUPPLY AND DELIVERY OF SPORTS EQUIPMENT,N/A,Malawi,Tender,5/20/2025,https://ntchito.com/job/supply-and-delivery-of-sports-equipment/,57:37.2,ntchito.com,NULL,NULL,
109,PROCUREMENT OF SERVICES FOR THE MAINTENANCE AND SERVICE OF HEAVY DUTY PRINTER,N/A,"Blantyre, Malawi",Tender,5/20/2025,https://ntchito.com/job/procurement-of-services-for-the-maintenance-and-service-of-heavy-duty-printer/,57:37.2,ntchito.com,NULL,NULL,
110,Procurement of ICT Equipment,N/A,Malawi,Tender,5/20/2025,https://ntchito.com/job/procurement-of-ict-equipment/,57:37.2,ntchito.com,NULL,NULL,
111,PARTITION OF OFFICES,N/A,Malawi,Tender,5/20/2025,https://ntchito.com/job/partition-of-offices/,57:37.2,ntchito.com,NULL,NULL,
112,Construction of Multi Purpose shelter and warehouse,N/A,"Mangochi, Malawi",Tender,5/20/2025,https://ntchito.com/job/construction-of-multi-purpose-shelter-and-warehouse/,57:37.2,ntchito.com,NULL,NULL,
113,Internship Opportunity,N/A,"Lilongwe, Malawi",Internship,5/20/2025,https://ntchito.com/job/internship-opportunity-4/,57:37.2,ntchito.com,NULL,NULL,
114,Media Monitors,N/A,"Lilongwe, Malawi",Job Vacancy in Malawi,5/20/2025,https://ntchito.com/job/media-monitors/,57:37.2,ntchito.com,NULL,NULL,
115,Media Monitoring and Evaluation Officer,N/A,"Lilongwe, Malawi",Job Vacancy in Malawi,5/20/2025,https://ntchito.com/job/media-monitoring-and-evaluation-officer/,57:37.2,ntchito.com,NULL,NULL,
116,Director of Health & Services,N/A,"Mwanza, Malawi",Job Vacancy in Malawi,5/20/2025,https://ntchito.com/job/director-of-health-services/,57:37.2,ntchito.com,NULL,NULL,
117,Assistant Environmental Health Officer,N/A,"Mwanza, Malawi",Opportunity,5/20/2025,https://ntchito.com/job/assistant-environmental-health-officer-2/,57:37.2,ntchito.com,NULL,NULL,
118,Assistant Irrigation Engineer,N/A,"Mwanza, Malawi",Opportunity,5/20/2025,https://ntchito.com/job/assistant-irrigation-engineer/,57:37.2,ntchito.com,NULL,NULL,
119,Assistant Agriculture Extension Development Officer,N/A,"Mwanza, Malawi",Opportunity,5/20/2025,https://ntchito.com/job/assistant-agriculture-extension-development-officer/,57:37.2,ntchito.com,NULL,NULL,
